"Entity","Year","Deaths - Self-harm - Sex: Both - Age: 70+ years (Rate)","Deaths - Self-harm - Sex: Both - Age: 50-69 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 5-14 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 15-49 years (Rate)"
"Eastern Europe","2015","38.523216001076","35.75999168974","1.045814147614","39.059965163248"
"Eastern Europe","2016","37.849710199419","34.626943754238","0.98439954590256","37.469945903655"
"Eastern Europe","2017","37.122895820917","33.76532002549","0.9560822674745","36.440916542141"
"Latin America and Caribbean","2000","13.548067350073","10.05497049396","0.57136296408849","8.8061561980353"
"Latin America and Caribbean","2001","13.264600335048","9.9414086972032","0.59203337840494","8.7741677783024"
"Latin America and Caribbean","2002","13.011384120607","9.813334426505","0.61765306387616","8.8594108424901"
"Latin America and Caribbean","2003","12.859105315409","9.738992401948","0.63184752523911","8.8448836249954"
"Latin America and Caribbean","2004","12.698539029552","9.6430803579279","0.63800881253368","8.7066729077843"
"Latin America and Caribbean","2005","12.456106150019","9.5286991967204","0.64548376625006","8.5969533311233"
"Latin America and Caribbean","2006","12.067022116273","9.3315491476189","0.65800810859445","8.5275930924424"
"Latin America and Caribbean","2007","11.831325341207","9.1776125256128","0.66100017653265","8.4538065879453"
"Latin America and Caribbean","2008","11.789511853505","9.1623698890555","0.67365444051975","8.6138944778501"
"Latin America and Caribbean","2009","11.791798145169","9.133232495182","0.68584983349502","8.7653121207296"
"Latin America and Caribbean","2010","11.727331700531","8.9538683430993","0.68633752050402","8.6940975946456"
"Latin America and Caribbean","2011","11.4694395259","8.8342907595317","0.68762068291358","8.6281579042043"
"Latin America and Caribbean","2012","11.384928844666","8.8139934731807","0.68607096673609","8.5857481439645"
"Latin America and Caribbean","2013","11.296772880744","8.7779877341578","0.67605052781449","8.4015906307042"
"Latin America and Caribbean","2014","11.24922260585","8.7394081465003","0.68245799971715","8.38486144951"
"Latin America and Caribbean","2015","11.286042203517","8.763651084737","0.67291728669624","8.3743971764413"
"Latin America and Caribbean","2016","11.299936821724","8.8788683312784","0.65863625553222","8.5059611145438"
"Latin America and Caribbean","2017","11.302876336328","8.9215736860531","0.6380839974793","8.5349493365136"
"North Africa and Middle East","2000","10.161572341219","6.8198031722717","0.49642944008065","7.6297870123811"
"North Africa and Middle East","2001","9.9998755788312","6.8244264846603","0.49049732804942","7.6361626285797"
"North Africa and Middle East","2002","9.9024863718285","6.8434433358996","0.47672975434784","7.6174136970871"
"North Africa and Middle East","2003","9.552425589298","6.8217726255813","0.46377657916107","7.5616919069325"
"North Africa and Middle East","2004","9.2932236515835","6.737780314016","0.45281020722237","7.4995230003559"
"North Africa and Middle East","2005","9.1940411711018","6.6415396972608","0.43968166160622","7.4156424004501"
"North Africa and Middle East","2006","9.088699608009","6.5637286227578","0.42425109255003","7.3034178881226"
"North Africa and Middle East","2007","8.9820579361211","6.4535087631758","0.41018398348284","7.206614633264"
"North Africa and Middle East","2008","8.9002384474139","6.3763740114545","0.39699448007602","7.1519333109187"
"North Africa and Middle East","2009","8.910873744269","6.3617095187551","0.38849217781311","7.13262779861"
"North Africa and Middle East","2010","8.89841945979","6.2748183204426","0.37798179611386","7.0907233765043"
"North Africa and Middle East","2011","8.7977803233255","6.1744781519767","0.36450567338089","7.0141987281206"
"North Africa and Middle East","2012","8.6977950123633","6.0809155616231","0.35514486898615","6.9455641789864"
"North Africa and Middle East","2013","8.6464202226737","5.9802827106905","0.34968973913304","6.8337158257249"
"North Africa and Middle East","2014","8.5931892711224","5.8963609452738","0.33732778698147","6.7497377976715"
"North Africa and Middle East","2015","8.5170345581375","5.8480699446575","0.32151622115691","6.6924442540946"
"North Africa and Middle East","2016","8.4700046615148","5.7918283891871","0.31025805197886","6.621966836552"
"North Africa and Middle East","2017","8.4450230683835","5.7617299054286","0.30092581479549","6.5654764716423"
"North America","2000","18.666615565328","15.304909468833","0.74801814934514","15.516215624253"
"North America","2001","18.381522732668","15.738498307652","0.72697756485525","15.75115655634"
"North America","2002","18.304368714859","16.195502260497","0.73233151025008","16.006036949641"
"North America","2003","17.952456975592","16.58344094286","0.72582824017414","16.083761201011"
"North America","2004","17.453460795806","16.62886527481","0.71353711784723","15.851828644108"
"North America","2005","17.486085618768","17.206560718694","0.70582122929646","16.13039275016"
"North America","2006","17.204257811105","17.611020719676","0.66756135222356","16.182284647198"
"North America","2007","17.089779321568","17.99071013806","0.65996539381161","16.131077898188"
"North America","2008","17.186739105192","18.50906880929","0.66200569660804","16.09303603627"
"North America","2009","17.192075193451","18.976735801672","0.67514933236788","16.049556496386"
"North America","2010","17.187593429025","19.019529796133","0.68296068158814","15.785734610731"
"North America","2011","17.483718108915","19.381470142787","0.70997647399694","15.90281973008"
"North America","2012","17.683998599546","19.62845940799","0.73054164680316","15.895734377458"
"North America","2013","17.944060685733","19.772056153307","0.76959165745201","15.830357389811"
"North America","2014","18.156404588052","19.957638337692","0.80192089484622","16.044470502286"
"North America","2015","18.308249277808","20.015174926499","0.82898451735589","16.543143502605"
"North America","2016","18.426311373977","19.984649523175","0.82409886043103","17.067966157485"
"North America","2017","18.44856947659","19.823339816708","0.81266944303213","17.065670011185"
"South Asia","2000","23.248710672805","18.097667005945","1.6830615559932","25.468169192019"
"South Asia","2001","23.95914049141","17.991482267539","1.6239478244793","24.483475595242"
"South Asia","2002","24.246414953829","17.880187888413","1.4406788565609","23.390727091943"
"South Asia","2003","24.107703259094","17.703499012172","1.3102407601413","22.202970320849"
"South Asia","2004","23.389689202839","17.016659775345","1.408015652359","21.571786336423"
"South Asia","2005","24.080589275661","17.016838120251","1.4365842361924","21.824369505058"
"South Asia","2006","24.070441918572","16.614878009265","1.3484580484458","21.588034265294"
"South Asia","2007","23.742981766244","16.61903560082","1.2995073612787","21.151342434021"
"South Asia","2008","23.666293648372","16.484849164686","1.2536317496351","21.237837448502"
"South Asia","2009","23.602777619903","16.279437643535","1.2587902467004","21.500220309882"
"South Asia","2010","23.566029884394","16.2902288997","1.36227493744","21.71210758577"
"South Asia","2011","23.87955586962","16.561560557912","1.3866830251844","21.747625855312"
"South Asia","2012","24.039766618672","16.932628011939","1.3067131364854","20.855723732009"
"South Asia","2013","24.226702660936","17.266571065827","1.2345582536306","19.880416423553"
"South Asia","2014","24.661650312423","17.536818291213","1.1614816874682","19.261593080813"
"South Asia","2015","24.862361296883","17.851010728173","1.0264655877914","18.151118438733"
"South Asia","2016","25.127688555187","18.008365849961","0.99940083605388","18.070833945956"
"South Asia","2017","25.014382100453","17.857657460065","0.94510993403036","17.894573834722"
"Southeast Asia","2000","19.532392551178","12.094082764505","0.23850000822176","10.309031128623"
"Southeast Asia","2001","18.706358351052","11.671148764661","0.23356479854367","9.7370849335087"
"Southeast Asia","2002","18.238590774247","11.462907255235","0.23160728749929","9.4365346865613"
"Southeast Asia","2003","17.911034720551","11.322789019682","0.22796684148172","9.1362047701143"
"Southeast Asia","2004","17.424083104331","11.02077508608","0.22292375050762","8.6824432021773"
"Southeast Asia","2005","17.139634868113","10.782850963177","0.22204835335002","8.3225142112846"
"Southeast Asia","2006","16.861244043671","10.617191616394","0.21663521207972","8.1262455108804"
"Southeast Asia","2007","16.718662678676","10.465450298016","0.21206399478796","7.9582121325866"
"Southeast Asia","2008","16.64322399767","10.341754813786","0.21162498402809","7.8636597100071"
"Southeast Asia","2009","16.280697067959","10.096593479687","0.21210396644675","7.6981269559878"
"Southeast Asia","2010","16.245869191364","9.9913040408966","0.20756959515843","7.583656294844"
"Southeast Asia","2011","16.279865923339","9.9842806041942","0.20504445850567","7.506455299458"
"Southeast Asia","2012","16.338998087459","9.8538928925953","0.20727034953218","7.3958686868155"
